Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
ABGQUMHONI,2026-07-23 17:35:20,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
NYQMBCFYYT,2026-07-23 17:33:21,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
CALQHLOARA,2026-07-23 14:59:02,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VVRCPIIAMU,2026-07-23 14:59:02,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
PBAOIQTKWA,2026-07-23 12:02:23,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
RTCAAOZQSO,2026-07-23 12:02:23,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
FIUFOIEZKY,2026-07-23 12:02:23,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
NREOYBZOBT,2026-07-23 12:02:23,completed,DỨA + CAM,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
HBHDTNKSSU,2026-07-23 12:00:56,completed,DỨA,Size M,3,20000,,,0,0,0,60000,Tiền mặt,NDN,
RVWOORUNTH,2026-07-23 12:00:56,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
UGDIJJDZOY,2026-07-22 19:05:58,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
STCRWSJYLX,2026-07-22 18:25:05,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
PJOWUPGRYW,2026-07-22 17:52:53,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
FLNWQJVVMH,2026-07-22 17:15:26,completed,CÀ PHÊ MUỐI,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NHUNG,
PKTZNOYVNM,2026-07-22 16:38:10,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
JYWTYIHATV,2026-07-22 16:35:37,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MIMUDAFLYN,2026-07-22 15:39:02,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
YEZLYIIDZQ,2026-07-22 15:39:02,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
KMPDXYEBOT,2026-07-22 15:38:39,completed,DỨA,Size M,2,20000,,,0,0,0,40000,Tiền mặt,NDN,
